product_category,product_name,github_link,sample_language
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/dlp/api/Snippets/DeidentifyFreeTextWithFpeUsingSurrogate.cs,C#
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/dlp/api/Snippets/DeidentifyWithDateShift.cs,C#
Observability and monitoring,Monitoring,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/monitoring/api/UptimeCheckSample/Program.cs,C#
Security,Secret Manager,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/parametermanager/api/ParameterManager.RegionalSamples/CreateStructuredRegionalParameterVersion.cs,C#
Security,Cloud KMS,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/storage/api/Storage.Samples/UploadFileWithKmsKey.cs,C#
Storage,Storage Transfer Service,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/storagetransfer/api/StorageTransfer.Samples/DownloadToPosixSample.cs,C#
Data analytics and pipelines,BigQuery,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/bigquery/snippets/table/bigquery_create_table_external_hivepartitioned.go,Go
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/compute/disks/consistency_group_add_disk.go,Go
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/dlp/snippets/redact/redact_image_colored_infotypes.go,Go
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/dlp/snippets/trigger/list.go,Go
Compute,App Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/docs/appengine/tools/unittest/package.go,Go
Databases,Firestore,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/firestore/vector_search_result_field_masked.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/functions/functionsv2/hellopubsub/hello_pubsub.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/genai/controlled_generation/ctrlgen_with_nullable_schema.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/genai/text_generation/textgen_with_txt_img.go,Go
Security,Certificate Authority,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/privateca/revoke_certificate.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/v1samples/topics/create_topic_azure_event_hubs_ingestion.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/v1samples/topics/publish.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsublite/admin/update_subscription.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/opentelemetry/tracing/spanner_opentelemetry_tracing.go,Go
Compute,Batch,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/spanner_batch_client_request_priority.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/spanner_read_only_transaction.go,Go
Security,Cloud KMS,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/storage/buckets/remove_bucket_default_kms_key.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/aiplatform/src/main/java/aiplatform/CreateDatasetTextSample.java,Java
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/aiplatform/src/main/java/aiplatform/CreateTrainingPipelineTextEntityExtractionSample.java,Java
App development,Cloud Tasks,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/appengine-java8/tasks/snippets/src/main/java/com/example/task/DeleteQueue.java,Java
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/automl/src/main/java/beta/automl/DeleteDataset.java,Java
Compute,Batch,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/batch/snippets/src/main/java/com/example/batch/CreateBatchUsingServiceAccount.java,Java
Databases,Bigtable,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/bigtable/hbase/snippets/src/main/java/com/example/bigtable/Reads.java,Java
Databases,Cloud SQL,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/cloud-sql/mysql/client-side-encryption/src/main/java/cloudsql/tink/CloudSqlConnectionPool.java,Java
Databases,Cloud SQL,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/cloud-sql/sqlserver/client-side-encryption/src/main/java/cloudsql/tink/CloudSqlConnectionPool.java,Java
AI and ML,DocAI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/content-warehouse/src/main/java/contentwarehouse/v1/UpdateDocument.java,Java
AI and ML,Dialogflow,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/dialogflow-cx/src/main/java/dialogflow/cx/DetectIntentSentimentAnalysis.java,Java
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/functions/v2/label-compute-instance/src/main/java/functions/AutoLabelInstance.java,Java
Industry solutions,Healthcare Data Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/healthcare/v1/src/main/java/snippets/healthcare/dicom/DicomStoreExport.java,Java
Industry solutions,Healthcare Data Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/healthcare/v1/src/main/java/snippets/healthcare/hl7v2/Hl7v2StoreGetIamPolicy.java,Java
Networking,Media CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/media/livestream/src/main/java/com/example/livestream/StartChannel.java,Java
Networking,Media CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/media/stitcher/src/main/java/com/example/stitcher/GetVodStitchDetail.java,Java
Security,Security Command Center,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/security-command-center/snippets/src/main/java/muteconfig/CreateMuteRule.java,Java
Security,Security Command Center,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/security-command-center/snippets/src/main/java/vtwo/muteconfig/DeleteMuteRule.java,Java
Databases,Spanner,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/spanner/jdbc/src/main/java/com/example/spanner/jdbc/InsertDataExample.java,Java
Networking,Media CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/video/src/main/java/beta/video/StreamingShotChangeDetection.java,Java
Compute,Google Kubernetes Engine (GKE),https://github.com/GoogleCloudPlatform/kubernetes-engine-samples/blob/main/autopilot/networking-tutorial/main.tf,Terraform
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/kubernetes-engine-samples/blob/main/streaming/kafka/terraform/gke-standard/main.tf,Terraform
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/ai-platform/snippets/create-endpoint.js,JavaScript
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/ai-platform/snippets/imagen-edit-image-inpainting-remove-mask.js,JavaScript
Data analytics and pipelines,BigQuery,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/asset/snippets/exportAssetsBigquery.js,JavaScript
Compute,Batch,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/asset/snippets/getBatchAssetHistory.js,JavaScript
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/compute/reservations/deleteReservation.js,JavaScript
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/dlp/inspectImageFileListedInfoTypes.js,JavaScript
Security,Secret Manager,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/secret-manager/regional_samples/getRegionalSecret.js,JavaScript
Compute,Cloud Run,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/analyticsdata/src/run_report_with_multiple_dimensions.php,PHP
Security,Cloud Asset Inventory,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/asset/src/search_all_resources.php,PHP
AI and ML,Dialogflow,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/dialogflow/src/session_entity_type_create.php,PHP
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/dlp/src/deidentify_table_with_multiple_crypto_hash.php,PHP
Networking,Media CDN,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/media/livestream/src/update_channel.php,PHP
Compute,Batch,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/media/transcoder/src/create_job_from_preset_batch_mode.php,PHP
Industry solutions,Talent Solutions,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/media/transcoder/src/list_jobs.php,PHP
Observability and monitoring,Monitoring,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/monitoring/quickstart.php,PHP
Observability and monitoring,Monitoring,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/monitoring/src/write_timeseries.php,PHP
Security,Identity and Access Management (IAM),https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/secretmanager/src/regional_iam_grant_access.php,PHP
Databases,Spanner,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/spanner/src/admin/archived/create_database_with_version_retention_period.php,PHP
Databases,Spanner,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/spanner/src/create_instance_partition.php,PHP
Networking,Media CDN,https://github.com/GoogleCloudPlatform/php-docs-samples/blob/main/video/src/analyze_explicit_content.php,PHP
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/appengine/flexible/pubsub/main.py,Python
Compute,App Engine,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/appengine/standard/images/api/blobstore.py,Python
App development,Cloud Scheduler,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/cloud_scheduler/snippets/delete_job.py,Python
Data analytics and pipelines,Cloud Composer,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/2022_airflow_summit/data_analytics_dag.py,Python
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/composer/functions/pubsub_publisher.py,Python
AI and ML,DocAI,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/contentwarehouse/snippets/get_document_sample.py,Python
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/dlp/snippets/Stored_InfoType/inspect_with_stored_infotype.py,Python
Compute,Cloud Functions,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/functions/spanner/main.py,Python
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/genai/count_tokens/counttoken_with_txt_vid.py,Python
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/genai/tools/tools_code_exec_with_txt.py,Python
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/generative_ai/extensions/get_example.py,Python
Security,Identity and Access Management (IAM),https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/iam/cloud-client/snippets/delete_key.py,Python
AI and ML,Natural Language API,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/language/snippets/generated-samples/v1/language_sentiment_text.py,Python
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/managedkafka/snippets/topics/list_topics.py,Python
Security,Secret Manager,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/parametermanager/snippets/list_params.py,Python
Networking,Media CDN,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/video/transcoder/create_job_with_set_number_images_spritesheet.py,Python
AI and ML,Vertex AI Vision,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/vision/snippets/detect/beta_snippets.py,Python
Compute,Google Kubernetes Engine (GKE),https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/nodejs/containerengine/end/backend/gcp/cloudstorage.js,JavaScript
Compute,Cloud Functions,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.3/nodejs/cloudfunctions/start/server/gcp/cloudstorage.js,JavaScript
Storage,Cloud Storage,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-storage/samples/storage_delete_bucket_notification.rb,Ruby
App development,Pub/Sub,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-storage/samples/storage_print_pubsub_bucket_notification.rb,Ruby
Databases,Firestore,https://github.com/googleapis/java-datastore/blob/main/samples/snippets/src/main/java/com/example/datastore/aggregation/CountAggregationWithOrderBy.java,Java
Databases,Spanner,https://github.com/googleapis/java-spanner/blob/main/samples/snippets/src/main/java/com/example/spanner/AlterSequenceSample.java,Java
Databases,Spanner,https://github.com/googleapis/java-spanner/blob/main/samples/snippets/src/main/java/com/example/spanner/CreateTableWithForeignKeyDeleteCascadeSample.java,Java
Databases,Spanner,https://github.com/googleapis/java-spanner/blob/main/samples/snippets/src/main/java/com/example/spanner/DatabaseAddSplitPointsSample.java,Java
Storage,Cloud Storage,https://github.com/googleapis/java-storage/blob/main/samples/snippets/src/main/java/com/example/storage/transfermanager/AllowParallelCompositeUpload.java,Java
Data analytics and pipelines,BigQuery,https://github.com/googleapis/nodejs-bigquery/blob/main/samples/getRoutine.js,JavaScript
Data analytics and pipelines,BigQuery,https://github.com/googleapis/nodejs-bigquery/blob/main/samples/queryExternalGCSPerm.js,JavaScript
App development,Pub/Sub,https://github.com/googleapis/nodejs-pubsub/blob/main/samples/typescript/modifyPushConfig.ts,JavaScript
Databases,Spanner,https://github.com/googleapis/nodejs-spanner/blob/main/samples/create-instance-without-default-backup-schedules.js,JavaScript
Databases,Spanner,https://github.com/googleapis/nodejs-spanner/blob/main/samples/proto-update-data.js,JavaScript
Storage,Cloud Storage,https://github.com/googleapis/nodejs-storage/blob/main/samples/disableUniformBucketLevelAccess.js,JavaScript
Storage,Cloud Storage,https://github.com/googleapis/nodejs-storage/blob/main/samples/downloadEncryptedFile.js,JavaScript
Storage,Cloud Storage,https://github.com/googleapis/nodejs-storage/blob/main/samples/downloadFileUsingRequesterPays.js,JavaScript
AI and ML,Vertex AI,https://github.com/googleapis/python-aiplatform/blob/main/samples/model-builder/model_registry/create_aliased_model_sample.py,Python
AI and ML,Vertex AI,https://github.com/googleapis/python-aiplatform/blob/main/samples/model-builder/vector_search/vector_search_list_index_sample.py,Python
AI and ML,Vertex AI,https://github.com/googleapis/python-aiplatform/blob/main/samples/snippets/job_service/create_batch_prediction_job_video_classification_sample.py,Python
AI and ML,Vertex AI,https://github.com/googleapis/python-aiplatform/blob/main/samples/snippets/pipeline_service/create_training_pipeline_video_classification_sample.py,Python
Data analytics and pipelines,BigQuery,https://github.com/googleapis/python-bigquery-storage/blob/main/samples/to_dataframe/read_query_results.py,Python
Storage,Cloud Storage,https://github.com/googleapis/python-storage/blob/main/samples/snippets/storage_release_event_based_hold.py,Python
Security,Identity and Access Management (IAM),https://github.com/googleapis/python-storage/blob/main/samples/snippets/storage_remove_bucket_iam_member.py,Python
Storage,Cloud Storage,https://github.com/googleapis/python-storage/blob/main/samples/snippets/storage_set_retention_policy.py,Python
Storage,Backup and DR Service,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/backupdr/backup_vault/main.tf,Terraform
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/compute/api/Compute.Samples/ListImagesAsync.cs,C#
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/dlp/api/Snippets/ReidentifyContentUsingFpe.cs,C#
Networking,Media CDN,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/media/transcoder/api/Transcoder.Samples/CreateJobWithPeriodicImagesSpritesheet.cs,C#
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/pubsub/api/Pubsub.Samples/PublishMessagesAsync.cs,C#
Security,Secret Manager,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/secretmanager/api/SecretManager.Samples/ViewRegionalSecretAnnotations.cs,C#
Databases,Spanner,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/spanner/api/Spanner.Samples/AddCommitTimestampAsync.cs,C#
AI and ML,Cloud TPU,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/storage/api/Storage.Samples/SetPublicAccessPreventionInherited.cs,C#
Storage,Cloud Storage,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/storage/api/Storage.Samples/StorageControlCreateManagedFolder.cs,C#
App development,Endpoints,https://github.com/GoogleCloudPlatform/endpoints-samples/blob/master/clients/firebase-android/app/src/main/java/com/google/firebase/quickstart/auth/CustomAuthActivity.java,Java
Security,Identity and Access Management (IAM),https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/bookshelf-standard/4-auth/src/main/java/com/example/getstarted/basicactions/CreateBookServlet.java,Java
Security,Identity and Access Management (IAM),https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/bookshelf-standard/4-auth/src/main/java/com/example/getstarted/basicactions/DeleteBookServlet.java,Java
Observability and monitoring,Logging,https://github.com/GoogleCloudPlatform/getting-started-java/blob/main/bookshelf-standard/5-logging/src/main/java/com/example/getstarted/auth/LogoutFilter.java,Java
Compute,App Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/appengine/go11x/warmup/warmup.go,Go
Security,Identity and Access Management (IAM),https://github.com/GoogleCloudPlatform/golang-samples/blob/main/auth/authenticate_with_api_key.go,Go
Data analytics and pipelines,BigQuery,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/bigquery/snippets/table/bigquery_create_table.go,Go
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/compute/disks/create_regional_from_disk.go,Go
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/compute/instance-templates/create-instance-templates/create_template_with_subnet.go,Go
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/compute/reservations/create_reservation_from_vm.go,Go
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/dlp/snippets/deid/reid_text_fpe.go,Go
Security,Cloud KMS,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/kms/get_public_key_jwk.go,Go
Observability and monitoring,Logging,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/logging/list_logs.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/managedkafka/consumergroups/list_consumergroups.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/pubsub_quickstart/main.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/schemas/list_schemas.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/subscriptions/dead_letter_delivery_attempt.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsublite/admin/create_reservation.go,Go
Security,Secret Manager,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/secretmanager/regional_samples/delete_regional_secret_with_etag.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/pg_spanner_case_sensitivity.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/spanner_query_request_priority.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/spanner_read_data_with_index.go,Go
Storage,Cloud Storage,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/storage/grpc_quickstart/main.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/vertexai/embeddings/generate_for_image_text_and_video.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/vertexai/evaluation/pairwise_evaluation.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/aiplatform/src/main/java/aiplatform/PredictTextExtractionSample.java,Java
Compute,App Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/appengine-java8/datastore-indexes/src/main/java/com/example/appengine/IndexesServlet.java,Java
Databases,Cloud SQL,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/cloud-sql/postgres/client-side-encryption/src/main/java/cloudsql/tink/QueryAndDecryptData.java,Java
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/compute/cloud-client/src/main/java/compute/ListAllInstances.java,Java
Data analytics and pipelines,Dataplex,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/datacatalog/snippets/src/main/java/com/example/datacatalog/UpdateEntryGroup.java,Java
Industry solutions,Talent Solutions,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/jobs/v3/src/main/java/com/google/samples/LocationSearchSample.java,Java
Security,Cloud KMS,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/kms/src/main/java/kms/CreateKeyRotationSchedule.java,Java
Networking,Cloud CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/media/stitcher/src/main/java/com/example/stitcher/CreateCdnKey.java,Java
Security,Security Command Center,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/security-command-center/snippets/src/main/java/vtwo/notifications/CreateNotification.java,Java
App development,Workflows,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/workflows/cloud-client/src/main/java/com/example/workflows/WorkflowsQuickstart.java,Java
Networking,Cloud CDN,https://github.com/GoogleCloudPlatform/networking-tools-python/blob/main/tools/ed25519_keygen/ed25519_keygen.py,Python
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/ai-platform/snippets/search-features-sample.js,JavaScript
App development,Cloud Build,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/cloudbuild/listBuildTriggers.js,JavaScript
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/compute/reservations/getReservation.js,JavaScript
AI and ML,Dialogflow,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/dialogflow-cx/delete-page.js,JavaScript
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/dlp/inspectImageFile.js,JavaScript
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/dlp/inspectString.js,JavaScript
Compute,Cloud Functions,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/functions/concepts/stateless/index.js,JavaScript
Compute,Cloud Functions,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/functions/helloworld/helloworldHttp/test/sample.system.http.test.js,JavaScript
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/functions/v2/helloPubSub/index.js,JavaScript
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/genai/image-generation/imggen-mmflash-with-txt.js,JavaScript
Industry solutions,Healthcare Data Engine,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/healthcare/dicom/getDicomStoreIamPolicy.js,JavaScript
Networking,Cloud CDN,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/media/video-stitcher/createCdnKeyAkamai.js,JavaScript
AI and ML,Translation,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/mediatranslation/translate_from_mic.js,JavaScript
